15:00:05.172 [ApplicationImpl pooled thread 300] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:00:50.344 [ApplicationImpl pooled thread 295] INFO  c.b.l.BrowserStackRunExtension - testng
15:00:50.344 [ApplicationImpl pooled thread 295] INFO  com.browserstack.utils.Helpers - null
15:00:50.345 [ApplicationImpl pooled thread 295] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:08:35.627 [ApplicationImpl pooled thread 307] INFO  c.b.l.BrowserStackRunExtension - testng
15:08:35.627 [ApplicationImpl pooled thread 307] INFO  com.browserstack.utils.Helpers - null
15:08:35.628 [ApplicationImpl pooled thread 307] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:27:03.072 [ApplicationImpl pooled thread 319] INFO  c.b.l.BrowserStackRunExtension - testng
15:27:03.072 [ApplicationImpl pooled thread 319] INFO  com.browserstack.utils.Helpers - null
15:27:03.073 [ApplicationImpl pooled thread 319] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:27:24.736 [ApplicationImpl pooled thread 327] INFO  c.b.l.BrowserStackRunExtension - testng
15:27:24.736 [ApplicationImpl pooled thread 327] INFO  com.browserstack.utils.Helpers - null
15:27:24.737 [ApplicationImpl pooled thread 327] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:39:33.105 [ApplicationImpl pooled thread 333] INFO  c.b.l.BrowserStackRunExtension - testng
15:39:33.105 [ApplicationImpl pooled thread 333] INFO  com.browserstack.utils.Helpers - null
15:39:33.106 [ApplicationImpl pooled thread 333] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:41:12.451 [ApplicationImpl pooled thread 333] INFO  c.b.l.BrowserStackRunExtension - testng
15:41:12.451 [ApplicationImpl pooled thread 333] INFO  com.browserstack.utils.Helpers - null
15:41:12.452 [ApplicationImpl pooled thread 333] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:41:50.212 [ApplicationImpl pooled thread 331] INFO  c.b.l.BrowserStackRunExtension - testng
15:41:50.212 [ApplicationImpl pooled thread 331] INFO  com.browserstack.utils.Helpers - null
15:41:50.213 [ApplicationImpl pooled thread 331] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:44:28.921 [ApplicationImpl pooled thread 328] INFO  c.b.l.BrowserStackRunExtension - testng
15:44:28.921 [ApplicationImpl pooled thread 328] INFO  com.browserstack.utils.Helpers - null
15:44:28.922 [ApplicationImpl pooled thread 328] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:45:34.064 [ApplicationImpl pooled thread 319] INFO  c.b.l.BrowserStackRunExtension - testng
